step_id,section,entry_type,field,value,updated_at
s1,t1.1,file_meta,fileMeta,未选择文件,2026-02-23T21:44:33.408225
s1,t1.1,field,candidate_book_1,基层政权：乡村制度诸问题（2018年修订版）(张静),2026-02-23T21:44:33.408225
s1,t1.1,field,candidate_book_2,小镇喧嚣：一个乡镇政治运作的演绎与阐释 (吴毅),2026-02-23T21:44:33.408225
s1,t1.1,field,candidate_book_3,乡镇治理与政府制度化 (赵树凯),2026-02-23T21:44:33.408225
s1,t1.1,field,comp_book_1,"Yang Zhong, Local Government and Politics in China: Challenges from Below",2026-02-23T21:44:33.408225
s1,t1.1,field,comp_book_2,"Ceren Ergenc and David S. G. Goodman (eds.), Handbook on Local Governance in China: Structures, Variations, and Innovations",2026-02-23T21:44:33.408225
s1,t1.1,field,comp_book_3,"Luigi Tomba, The Government Next Door: Neighborhood Politics in Urban China",2026-02-23T21:44:33.408225
s1,t1.1,field,comp_book_4,"Jean C. Oi, Rural China Takes Off: Institutional Foundations of Economic Reform",2026-02-23T21:44:33.408225
s1,t1.1,field,comp_book_5,"Kevin J. O’Brien and Lianjiang Li, Rightful Resistance in Rural China",2026-02-23T21:44:33.408225
s1,t1.1,field,diff_value,"下面按每本书分别给出中译英出版的差异化价值论证，覆盖三块：图书本身的学术与方法价值、海外市场需求与竞争位、在海外的具体用处与产品化路径。文中涉及的事实性信息均给出来源。

## 1）张静《基层政权：乡村制度诸问题（2018年修订版）》

### 图书本身的价值：把基层治理问题机制化、制度化

这本书的核心贡献是以乡村社会权力结构为中心，围绕动员体系、权利界定、组织体系、法律责任与国家建设的整合作用来解释乡村冲突的结构性与制度性来源，并强调基层权利界定与实现更贴近地方性权威单位的治理原则，而非与国家权威发生直接、稳定的实质关联。该书的官方内容简介即以这些机制框架作为主线。
其英文名在社科文献平台上已给出为 Problems of Rural Level Governance in China，这对海外版的题名定位与检索友好度有直接帮助。 ([pishu.com.cn][1])
此外，已有“法文版发布研讨会”的公开信息，说明该书在外语版权路径上存在现实可行性与先例信号。 ([ggy.scnu.edu.cn][2])

### 海外市场与竞争位：补足英文世界对基层国家能力的机制叙述

英语世界关于中国地方治理的教学与研究长期存在稳定需求，尤其在政治学、公共管理、中国研究方向的课程中，基层治理、村镇层级、地方选举或地方政府能力是常见教学单元。美国马里兰大学课程大纲中就明确把“村与乡镇层级的地方治理”作为阅读主题之一。 ([Department of Government and Politics][3])
同一类课程在亚洲高校也可见，例如香港理工大学的课程文件将地方治理相关内容列入教学结构。 ([The Hong Kong Polytechnic University][4])
在现有英文读物中，很多材料要么偏宏观国家治理概述，要么聚焦选举、抗争等特定议题；而张静这本书的差异在于提供了可教学的制度机制链条，适合用来解释“政策与权利如何在基层被界定、执行与冲突化”。该差异与现有英文研究对地方治理的关注点形成互补，而不是重复。 ([pishu.com.cn][1])

### 海外可能的用处：课程教材、方法训练、政策分析底层框架

1. 研究生课堂的机制训练材料：可按动员、权利界定、组织与责任拆成多周阅读，训练从制度设计到执行后果的推理链。 ([pishu.com.cn][1])
2. 面向政策分析与发展实践的中国基层国家能力理解框架：对政府、国际组织、基金会与媒体的中国项目评估，常需要把“制度如何在基层运转”讲清楚，这本书可作为框架性参照文本。 ([pishu.com.cn][1])
3. 版权与市场叙事上可强调“经典修订版”：平台信息显示其为2018年修订版并于2019年出版，有利于海外编辑把它定位为经过时间检验、可进入课程体系的读物。 ([pishu.com.cn][1])

---

## 2）吴毅《小镇喧嚣：一个乡镇政治运作的演绎与阐释》

### 图书本身的价值：用田野叙事呈现乡镇政治的过程逻辑

该书的差异化价值更接近“可读性强的政治社会学个案深描”，适合把抽象的基层政治运行转化为可跟踪的行动链条与情境化解释。其出版信息显示作者为吴毅、出版社为三联书店，并在海外渠道可检索到该书条目，说明它对海外馆藏与读者并不陌生。 ([豆瓣读书][5])

### 海外市场与竞争位：面向课堂讨论与案例教学的稀缺文本

海外课堂对中国地方治理的材料需求很大，但可用于“课堂讨论与案例写作”的中文一手民族志式材料在英语世界相对稀缺，更多依赖英文研究者的二手提炼。与偏议题综述的英文教材相比，这类“可直接进入课堂讨论的乡镇政治个案”往往更能形成教学差异化。 ([Department of Government and Politics][3])
它的竞争位可以避免与英文主流学术专著正面对撞，而是进入“案例读物”“田野式政治社会学读本”的子市场，用可读性和情境厚度形成区分。

### 海外可能的用处：教学案例库、方法课样本、比较研究素材

1. 政治学与社会学的质性方法课：可作为深描、个案解释与概念生成的样本读物，用来训练学生如何从田野材料抽象机制。其在图书馆系统中的规范编目与检索信息，有利于课程采用。 ([达特茅斯图书馆搜索][6])
2. 中国地方治理与国家社会关系课程的讨论文本：海外课程常讲地方治理、村镇层级政治与治理实践，这本书可提供可讨论的过程材料，弥补纯理论阅读的抽象性。 ([Department of Government and Politics][3])
3. 对新闻与风险分析人群：读者往往需要理解基层政治如何形成具体治理结果，个案叙事有利于把制度语言转化为“在场的政治过程”，降低理解门槛。 ([达特茅斯图书馆搜索][6])

---

## 3）赵树凯《乡镇治理与政府制度化》

### 图书本身的价值：以乡镇政府为单位的“组织与机制全景分析”

官方出版信息指出该书以对乡镇政府运作的全方位考察来分析内部机制，目标读者也被界定为乡镇管理者与政府相关部门，显示其写作取向更偏制度与治理实务的结合。 ([cp.com.cn][7])
更关键的是，该书在英文研究语境中已以文献形式被引用与识别，例如剑桥期刊文章的参考文献中明确列出该书（英文转写与中文书名并列），说明其议题与框架能进入国际学术对话。 ([Cambridge University Press & Assessment][8])
此外，斯坦福学者对该书的读书评介（PDF）概括其结构与关注点，包括组织权力、财政与债务、上下级关系等，并强调多方位视角，这为海外版营销与课程采用提供了“第三方可引用的学术背书材料”。 ([Stanford University][9])

### 海外市场与竞争位：对接“官僚体制与基层治理能力”的研究与课程需求

英文世界对中国官僚体制、治理能力与基层政府负荷的研究近年持续增长，相关学术论文也会讨论基层治理压力与组织机制。哈佛学位论文就以“基层治理与官僚负荷”为题展开研究，并在文献中引用赵树凯的著作（含修订版信息）。 ([哈佛数据系统][10])
因此，这本书的海外市场切入点不是“乡镇政治奇观”，而是“基层政府作为组织如何运转、如何被制度化、在财政与层级控制中如何形成行为逻辑”。这类内容能直接服务公共管理、组织研究与政治经济学课程与研究议程。 ([Stanford University][9])

### 海外可能的用处：公共管理教学、组织研究引用、政策能力评估

1. 公共管理与比较官僚制课程：把乡镇作为组织单元讲清楚，有利于与其他国家的地方政府比较，形成可迁移的课堂框架。 ([Stanford University][9])
2. 组织与管理研究的中国材料补足：其已被组织研究相关综述文章纳入引用链，可用于国际学界进一步引用与对话。 ([Cambridge University Press & Assessment][8])
3. 政策评估与项目落地的参考书：官方“读者对象”与“全方位考察乡镇政府运作”的表述，使它更容易被定位为介于学术与政策实践之间的参考文本。 ([cp.com.cn][7])

---

## 三本书的组合差异化：避免同质化、覆盖三类海外购买动机

1. 张静：制度与权利界定的理论框架型作品，适合做课程核心阅读与理论对话。 ([pishu.com.cn][1])
2. 吴毅：可读性强的乡镇政治个案深描，适合案例教学与跨学科课堂讨论。 ([达特茅斯图书馆搜索][6])
3. 赵树凯：组织机制与制度化的全景分析，直接对接公共管理与组织研究的研究议程与引用链。 ([Cambridge University Press & Assessment][8])

如果你希望把以上内容直接写成可放进选题表单的英文定位陈述，我可以为每本书各写：一句话定位、五条卖点、三类目标读者、三门典型课程的适配说明，并给出可能对标的英文竞品书方向。

[1]: https://www.pishu.com.cn/skwx_ps/bookdetail?ID=10688570&SiteID=14&utm_source=chatgpt.com ""基层政权：乡村制度诸问题（2018年修订版）""
[2]: https://ggy.scnu.edu.cn/a/20251101/6526.html?utm_source=chatgpt.com ""基层政权：乡村制度诸问题》法文版发布学术研讨会""
[3]: https://gvpt.umd.edu/sites/gvpt.umd.edu/files/syllabi/gvpt_487_fall_2016_8.29.docx?utm_source=chatgpt.com ""gvpt_487_fall_2016_8.29.docx""
[4]: https://www.polyu.edu.hk/apss/docdrive/subject/current/APSS3601%20Government%20and%20Public%20Administration%20in%20Contemporary%20China_2024_25%20SDF.pdf?utm_source=chatgpt.com ""APSS3601 Government and Public Administration in ...""
[5]: https://book.douban.com/subject/2280161//?utm_source=chatgpt.com ""小镇喧嚣""
[6]: https://search.library.dartmouth.edu/discovery/fulldisplay/alma991015380499705706/01DCL_INST%3A01DCL?utm_source=chatgpt.com ""yi ge xiang zhen zheng zhi yun zuo de yan yi yu chan shi""
[7]: https://www.cp.com.cn/book/978-7-100-07534-3_00.html?utm_source=chatgpt.com ""乡镇治理与政府制度化平装""
[8]: https://www.cambridge.org/core/journals/management-and-organization-review/article/what-can-the-research-on-chinese-bureaucracy-do-for-organization-theory/F7CD283D1CAD14E38A075C45AF8B1733?utm_source=chatgpt.com ""What Can the Research on Chinese Bureaucracy Do for ...""
[9]: https://web.stanford.edu/~xgzhou/zhaoshukai_CH.pdf?utm_source=chatgpt.com ""读赵树凯的《乡镇治理与政府制度化》""
[10]: https://dash.harvard.edu/bitstreams/b7828324-c10e-42a4-a6d7-68548add9679/download?utm_source=chatgpt.com ""Bureaucratic Overload and Grassroots Governance in China""",2026-02-23T21:44:33.408225
s1,t1.1,field,persona_keywords,"Graduate students and advanced undergraduates in China Studies, Political Science, Sociology, Public Policy, and Public Administration; instructors",2026-02-23T21:44:33.408225
s1,t1.1,field,positioning_statement,"三本书的组合差异化：避免同质化、覆盖三类海外购买动机

张静书：制度与权利界定的理论框架型作品，适合做课程核心阅读与理论对话。

吴毅书：可读性强的乡镇政治个案深描，适合案例教学与跨学科课堂讨论。

赵树凯书：组织机制与制度化的全景分析，直接对接公共管理与组织研究的研究议程与引用链。",2026-02-23T21:44:33.408225
